Property ID,Zip code,City,Type of Property,Subtype of Property,Price (€),Construction year,Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Building condition,Elevator,Basement,Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale,Region,Price per m²
10583186,1341,céroux-mousty,apartment,duplex,415000,2016.0,2.0,139.0,USA hyper equipped,0,0.0,1.0,44.0,0.0,0.0,,4.0,0,As new,1,0,116.0,,B,Gas,3.0,6.0,Walloon,2985.611510791367
10463775,1180,uccle,apartment,penthouse,1650000,2021.0,3.0,235.0,USA hyper equipped,0,0.0,1.0,237.0,0.0,0.0,,2.0,0,As new,1,1,62.0,9.0,B,Gas,3.0,6.0,Brussels capital region,7021.276595744681
10582739,1180,uccle,apartment,flat studio,159000,1977.0,1.0,30.0,Installed,1,0.0,0.0,0.0,0.0,0.0,,,0,Good,1,0,316.0,,F,Electric,2.0,4.0,Brussels capital region,5300.0
10582752,4300,waremme,house,mansion,495000,1918.0,6.0,250.0,Installed,0,0.0,1.0,102.0,1.0,380.0,575.0,2.0,0,As new,0,0,130.0,25.0,B,Gas,2.0,6.0,Walloon,1980.0
10579605,1332,rixensart genval,house,villa,530000,1928.0,4.0,176.0,USA hyper equipped,0,0.0,1.0,0.0,0.0,0.0,362.0,4.0,0,Good,0,1,394.0,69.0,E,Gas,3.0,4.0,Walloon,3011.3636363636365
10578260,1000,bruxelles,apartment,penthouse,340000,1972.0,2.0,70.0,USA hyper equipped,1,0.0,1.0,20.0,0.0,0.0,,2.0,0,Just renovated,1,1,647.0,142.0,G,Gas,3.0,5.0,Brussels capital region,4857.142857142857
10577975,9000,gent,apartment,penthouse,459000,1978.0,2.0,95.0,Installed,0,0.0,1.0,21.0,1.0,0.0,,,0,As new,1,0,131.0,,B,Gas,2.0,6.0,Flemish,4831.578947368421
10577525,1340,ottignies-louvain-la-neuve,house,villa,650000,1989.0,4.0,248.0,USA hyper equipped,0,0.0,1.0,100.0,1.0,666.0,1115.0,4.0,1,Good,1,1,220.0,55.0,C,Fuel oil,3.0,4.0,Walloon,2620.967741935484
10576930,1020,laeken,house,apartment block,730000,1952.0,6.0,300.0,Hyper equipped,0,0.0,1.0,10.0,1.0,320.0,506.0,2.0,0,To be done up,1,0,644.0,129.0,G,Gas,3.0,3.0,Brussels capital region,2433.3333333333335
10581309,6250,aiseau,house,villa,540000,1971.0,5.0,285.0,Installed,0,1.0,1.0,110.0,1.0,1370.0,1700.0,4.0,0,Good,0,0,305.0,,D,Gas,2.0,4.0,Walloon,1894.7368421052631
10581075,1150,woluwe-saint-pierre,house,town house,695000,1988.0,4.0,188.0,Hyper equipped,0,0.0,1.0,18.0,1.0,75.0,161.0,2.0,0,Good,0,1,171.0,35.0,D,Gas,3.0,4.0,Brussels capital region,3696.808510638298
10581324,9300,aalst,apartment,loft,508000,1990.0,2.0,230.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,As new,1,0,189.0,,B,Electric,2.0,6.0,Flemish,2208.695652173913
10581323,9300,aalst,apartment,loft,508000,1990.0,2.0,230.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,As new,1,0,189.0,,B,Electric,2.0,6.0,Flemish,2208.695652173913
10572904,4841,welkenraedt,house,apartment block,235000,1850.0,5.0,230.0,USA installed,0,0.0,0.0,0.0,1.0,339.0,432.0,3.0,0,Good,0,1,403.0,101.0,E,Fuel oil,2.0,4.0,Walloon,1021.7391304347826
10584959,9120,beveren,house,house,339000,1970.0,3.0,124.0,,0,1.0,0.0,0.0,0.0,0.0,550.0,,0,To renovate,0,0,606.0,,F,Gas,,2.0,Flemish,2733.8709677419356
10510490,8760,meulebeke,house,house,215000,1965.0,4.0,210.0,Installed,0,0.0,0.0,0.0,1.0,174.0,281.0,,0,To renovate,0,0,655.0,,F,,2.0,2.0,Flemish,1023.8095238095239
10584952,8570,anzegem,apartment,apartment,192500,2002.0,3.0,108.0,Installed,0,0.0,1.0,0.0,0.0,0.0,,,0,As new,1,0,113.0,,B,Gas,2.0,6.0,Flemish,1782.4074074074074
10584950,8550,zwevegem,apartment,apartment,269000,2022.0,2.0,90.0,,0,0.0,1.0,0.0,0.0,0.0,,,0,,1,0,,,,,,,Flemish,2988.8888888888887
10584949,8550,zwevegem,apartment,apartment,275000,2022.0,2.0,89.0,,0,0.0,1.0,0.0,0.0,0.0,,,0,,1,0,,,,,,,Flemish,3089.887640449438
10584943,8420,de haan,apartment,apartment,478000,1970.0,3.0,120.0,,1,1.0,0.0,0.0,0.0,0.0,,,0,As new,0,1,106.0,,B,,,6.0,Flemish,3983.3333333333335
10584940,1350,orp-jauche,house,house,389000,2019.0,3.0,190.0,,0,0.0,0.0,0.0,1.0,450.0,648.0,,0,,0,0,115.0,115.0,B,,,,Walloon,2047.3684210526317
10584937,3621,rekem,house,villa,919000,1976.0,4.0,375.0,Hyper equipped,0,0.0,0.0,0.0,1.0,2850.0,2850.0,4.0,1,As new,0,0,364.0,,D,Gas,3.0,6.0,Flemish,2450.6666666666665
10584928,2970,'s-gravenwezel,house,villa,645000,1976.0,4.0,250.0,,0,1.0,1.0,0.0,1.0,0.0,1020.0,,0,To renovate,0,1,526.0,,F,,,2.0,Flemish,2580.0
10584925,8300,knokke-heist,apartment,apartment,875000,1990.0,3.0,117.0,,0,0.0,0.0,0.0,0.0,0.0,,,0,Just renovated,1,0,100.0,,A,Gas,,5.0,Flemish,7478.6324786324785
10584922,2100,deurne,apartment,apartment,174000,1973.0,2.0,82.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,Good,0,0,187.0,,B,Gas,2.0,4.0,Flemish,2121.951219512195
10584919,8450,bredene,apartment,apartment,305000,,3.0,143.0,,0,0.0,0.0,0.0,0.0,0.0,,,0,As new,0,0,134.0,,B,,,6.0,Flemish,2132.867132867133
10584918,8450,bredene,apartment,apartment,299000,,3.0,143.0,,0,0.0,0.0,0.0,0.0,0.0,,,0,As new,0,0,242.0,,C,,,6.0,Flemish,2090.909090909091
10584917,8377,zuienkerke,house,villa,769000,1992.0,5.0,351.0,,0,0.0,0.0,0.0,1.0,0.0,3699.0,,0,,0,0,222.0,,C,,,,Flemish,2190.8831908831908
10465613,1070,anderlecht,apartment,apartment,199000,1975.0,2.0,86.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,To be done up,1,1,396.0,85.0,G,Gas,2.0,3.0,Brussels capital region,2313.953488372093
10584914,1000,bruxelles,apartment,apartment,319000,2012.0,2.0,96.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,Good,1,1,120.0,23.0,C,Gas,2.0,4.0,Brussels capital region,3322.9166666666665
10584912,8000,brugge,house,house,395000,,3.0,130.0,Installed,0,0.0,0.0,0.0,0.0,0.0,130.0,,0,As new,0,0,272.0,,C,,2.0,6.0,Flemish,3038.4615384615386
10308626,8620,nieuwpoort,apartment,apartment,199000,1991.0,1.0,50.0,,0,0.0,0.0,0.0,1.0,0.0,,,0,Just renovated,1,0,399.0,,D,,,5.0,Flemish,3980.0
10414709,8670,oostduinkerke,apartment,apartment,590000,2007.0,2.0,83.0,,0,0.0,1.0,0.0,1.0,0.0,,,0,As new,1,0,298.0,,C,,,6.0,Flemish,7108.433734939759
10554323,8670,oostduinkerke,apartment,apartment,590000,2007.0,2.0,83.0,,0,0.0,1.0,0.0,1.0,0.0,,,0,As new,1,0,298.0,,C,,,6.0,Flemish,7108.433734939759
10584907,9031,drongen,house,villa,675000,1995.0,4.0,225.0,Installed,0,1.0,0.0,0.0,0.0,0.0,1293.0,4.0,0,Good,0,0,281.0,,C,Fuel oil,2.0,4.0,Flemish,3000.0
10584906,2390,malle,house,house,412900,1976.0,2.0,150.0,,0,0.0,0.0,0.0,1.0,450.0,639.0,4.0,0,Good,0,0,276.0,,C,,,4.0,Flemish,2752.6666666666665
10572508,9600,ronse,house,villa,419000,1954.0,5.0,202.0,Installed,0,0.0,1.0,20.0,1.0,850.0,1541.0,4.0,0,Good,0,0,289.0,8912.0,C,Gas,2.0,4.0,Flemish,2074.2574257425745
10572922,1910,kampenhout,house,exceptional property,750000,1910.0,4.0,306.0,Hyper equipped,0,0.0,1.0,28.0,0.0,0.0,3113.0,3.0,1,Good,0,0,385.0,34.0,D,Fuel oil,3.0,4.0,Flemish,2450.9803921568628
10579280,8300,knokke-heist,apartment,duplex,675000,2002.0,2.0,100.0,USA hyper equipped,0,0.0,1.0,15.0,0.0,0.0,,2.0,0,To be done up,1,1,440.0,,E,Gas,3.0,3.0,Flemish,6750.0
10571119,4590,ouffet,apartment,duplex,189000,2009.0,2.0,105.0,Semi equipped,0,0.0,1.0,15.0,1.0,70.0,,,0,Good,1,1,230.0,,C,Pellet,1.0,4.0,Walloon,1800.0
10569863,2800,mechelen,house,mansion,850000,1877.0,7.0,370.0,Installed,0,0.0,1.0,50.0,1.0,1060.0,1269.0,4.0,0,To renovate,0,1,584.0,,F,Fuel oil,2.0,2.0,Flemish,2297.2972972972975
10578381,1970,wezembeek-oppem,house,villa,775000,1962.0,3.0,200.0,Hyper equipped,0,0.0,1.0,0.0,0.0,0.0,669.0,4.0,0,Good,0,1,418.0,,E,Gas,3.0,4.0,Flemish,3875.0
10579649,1831,machelen diegem,house,villa,675000,2008.0,5.0,200.0,USA hyper equipped,0,0.0,1.0,0.0,1.0,150.0,234.0,3.0,0,As new,0,0,133.0,577.0,B,,3.0,6.0,Flemish,3375.0
10567685,1170,watermael-boitsfort,apartment,flat studio,195000,1976.0,1.0,51.0,Semi equipped,0,0.0,1.0,2.0,0.0,0.0,,2.0,1,Good,1,1,79.0,20.0,B,Gas,1.0,4.0,Brussels capital region,3823.529411764706
10568686,1080,sint-jans-molenbeek,apartment,duplex,265000,1996.0,2.0,106.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,4.0,0,Good,1,0,118.0,,C,Gas,2.0,4.0,Brussels capital region,2500.0
10568915,6950,nassogne,house,apartment block,325000,1946.0,4.0,235.0,USA semi equipped,0,0.0,0.0,0.0,0.0,0.0,122.0,2.0,0,Good,0,1,217.0,54.0,C,Fuel oil,1.0,4.0,Walloon,1382.9787234042553
10567484,6800,libramont-chevigny,house,villa,329000,1960.0,5.0,140.0,Semi equipped,0,0.0,1.0,800.0,1.0,200.0,1011.0,4.0,0,To renovate,0,0,315.0,78.0,D,Fuel oil,1.0,2.0,Walloon,2350.0
10567500,1000,brussels,apartment,duplex,530000,2007.0,2.0,156.0,USA hyper equipped,0,0.0,1.0,40.0,0.0,0.0,,2.0,0,As new,1,1,207.0,41.0,D,Gas,3.0,6.0,Brussels capital region,3397.4358974358975
10567505,1080,molenbeek-saint-jean,apartment,duplex,530000,2007.0,2.0,156.0,USA hyper equipped,0,0.0,1.0,40.0,0.0,0.0,,2.0,0,As new,1,1,207.0,41.0,D,Gas,3.0,6.0,Brussels capital region,3397.4358974358975
10579367,1190,forest,apartment,penthouse,260000,1968.0,1.0,55.0,Semi equipped,0,0.0,1.0,25.0,0.0,0.0,,2.0,0,Good,1,1,720.0,145.0,G,,1.0,4.0,Brussels capital region,4727.272727272727
10568405,9800,deinze,apartment,penthouse,370000,2022.0,2.0,82.0,Hyper equipped,0,0.0,1.0,28.0,0.0,0.0,,2.0,0,As new,1,1,1.0,,A,,3.0,6.0,Flemish,4512.195121951219
10568403,9800,deinze,apartment,penthouse,395000,2022.0,2.0,85.0,Hyper equipped,0,0.0,1.0,28.0,0.0,0.0,,2.0,0,As new,1,1,1.0,,A,,3.0,6.0,Flemish,4647.058823529412
10566825,9031,drongen,apartment,duplex,349000,2003.0,2.0,118.0,USA installed,0,0.0,1.0,9.0,0.0,0.0,,3.0,0,Good,1,0,150.0,4065.0,B,Gas,2.0,4.0,Flemish,2957.6271186440677
10547322,9890,gavere,apartment,duplex,421000,2021.0,3.0,146.0,Hyper equipped,0,0.0,1.0,11.0,0.0,0.0,,4.0,0,As new,1,0,1.0,,A,Gas,3.0,6.0,Flemish,2883.5616438356165
10584902,8800,roeselare,apartment,apartment,250000,2019.0,2.0,110.0,,0,0.0,1.0,18.0,0.0,0.0,,,0,,1,0,,,,,,,Flemish,2272.7272727272725
10584901,8800,roeselare,apartment,apartment,230000,2019.0,2.0,104.0,,0,0.0,1.0,17.0,0.0,0.0,,,0,,1,0,,,,,,,Flemish,2211.5384615384614
10584898,8730,beernem,house,house,259000,,4.0,161.0,,0,0.0,0.0,0.0,1.0,0.0,415.0,,0,To renovate,0,0,326.0,,D,Gas,,2.0,Flemish,1608.695652173913
10584896,9000,gent,apartment,apartment,420000,2021.0,2.0,103.0,,0,0.0,1.0,31.0,1.0,0.0,,,0,,1,0,,,,Gas,,,Flemish,4077.669902912621
10584895,9000,gent,apartment,apartment,424000,2021.0,2.0,103.0,,0,0.0,1.0,31.0,1.0,0.0,,,0,,1,0,,,,Gas,,,Flemish,4116.504854368932
10584894,9000,gent,apartment,apartment,435000,2021.0,2.0,103.0,,0,0.0,1.0,31.0,1.0,0.0,,,0,,1,0,,,,Gas,,,Flemish,4223.300970873786
10584893,9000,gent,apartment,apartment,285800,2021.0,1.0,76.0,,0,0.0,1.0,25.0,0.0,0.0,,,0,,1,0,,,,Gas,,,Flemish,3760.5263157894738
10584892,9000,gent,apartment,apartment,432000,2021.0,2.0,103.0,,0,0.0,1.0,31.0,1.0,0.0,,,0,,1,0,,,,Gas,,,Flemish,4194.174757281553
10584891,9000,gent,apartment,apartment,365000,2025.0,3.0,101.0,Hyper equipped,0,0.0,1.0,13.0,1.0,0.0,,1.0,0,,1,0,25.0,,A,,3.0,,Flemish,3613.861386138614
10584890,9000,gent,apartment,apartment,215000,2025.0,1.0,60.0,Hyper equipped,0,0.0,1.0,10.0,1.0,0.0,,,0,,0,0,25.0,,A,,3.0,,Flemish,3583.3333333333335
10584889,9000,gent,apartment,apartment,220000,2025.0,1.0,60.0,Hyper equipped,0,0.0,1.0,11.0,1.0,0.0,,1.0,0,,1,0,25.0,,A,,3.0,,Flemish,3666.6666666666665
10584888,9000,gent,apartment,apartment,310000,2025.0,2.0,90.0,Hyper equipped,0,0.0,1.0,27.0,1.0,0.0,,,0,,0,0,25.0,,A,,3.0,,Flemish,3444.4444444444443
10584887,9000,gent,apartment,apartment,320000,2025.0,2.0,90.0,Hyper equipped,0,0.0,1.0,11.0,1.0,0.0,,1.0,0,,1,0,25.0,,A,,3.0,,Flemish,3555.5555555555557
10584886,9051,sint-denijs-westrem,apartment,apartment,365000,2025.0,3.0,101.0,Hyper equipped,0,0.0,1.0,13.0,1.0,0.0,,1.0,0,,1,0,25.0,,A,,3.0,,Flemish,3613.861386138614
10584885,9051,sint-denijs-westrem,apartment,apartment,215000,2025.0,1.0,60.0,Hyper equipped,0,0.0,1.0,10.0,1.0,0.0,,1.0,0,,1,0,25.0,,A,,3.0,,Flemish,3583.3333333333335
10584884,9051,sint-denijs-westrem,apartment,apartment,220000,2025.0,1.0,60.0,Hyper equipped,0,0.0,1.0,11.0,1.0,0.0,,1.0,0,,1,0,25.0,,A,,3.0,,Flemish,3666.6666666666665
10584883,9051,sint-denijs-westrem,apartment,apartment,310000,2025.0,2.0,90.0,Hyper equipped,0,0.0,1.0,27.0,1.0,0.0,,2.0,0,,1,0,25.0,,A,,3.0,,Flemish,3444.4444444444443
